<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<PRICE>,<TOTAL>,,
01.09.2020,10:26:00,108233,115257,107913,108435,55,"109959,5","6047772,5",,
01.09.2020,10:27:00,109405,115275,107962,115233,77,"111968,75","8621593,75",,
01.09.2020,10:28:00,109347,114955,108052,110186,97,110635,10731595,,
01.09.2020,10:29:00,111762,115218,108040,109903,20,"111230,75",2224615,,
01.09.2020,10:30:00,111799,115116,108250,114870,82,"112508,75","9225717,5",,
01.09.2020,10:31:00,108214,115109,108060,109506,92,"110222,25",10140447,,
01.09.2020,10:32:00,114374,114988,107966,114888,53,113054,5991862,,
01.09.2020,10:33:00,111656,115103,107902,112107,28,111692,3127376,,
01.09.2020,10:34:00,109929,115146,107926,111884,27,"111221,25","3002973,75",,
01.09.2020,10:35:00,108155,114987,107926,109383,94,"110112,75","10350598,5",,
01.09.2020,10:36:00,110456,115144,108056,112691,79,"111586,75","8815353,25",,
01.09.2020,10:37:00,112832,115265,107941,111215,69,"111813,25","7715114,25",,
01.09.2020,10:38:00,111515,115272,108239,110864,28,"111472,5",3121230,,
01.09.2020,10:39:00,111379,115291,108031,111181,81,"111470,5","9029110,5",,
01.09.2020,10:40:00,114178,115244,108063,111886,84,"112342,75",9436791,,
01.09.2020,10:41:00,115050,115206,108035,115077,57,113342,6460494,,
01.09.2020,10:42:00,111060,115268,107954,108412,3,"110673,5","332020,5",,
01.09.2020,10:43:00,108798,115199,107920,115167,82,111771,9165222,,
01.09.2020,10:44:00,109155,114900,107941,113911,4,"111476,75",445907,,
01.09.2020,10:45:00,109511,115288,107940,114666,29,"111851,25","3243686,25",,
01.09.2020,10:46:00,112468,114901,107941,110563,78,"111468,25","8694523,5",,
01.09.2020,10:47:00,110223,115220,107969,109687,40,"110774,75",4430990,,
01.09.2020,10:48:00,111889,115034,108152,108910,17,"110996,25","1886936,25",,
01.09.2020,10:49:00,109313,115208,107900,109257,53,"110419,5","5852233,5",,
01.09.2020,10:50:00,112610,114866,108337,109131,66,111236,7341576,,
01.09.2020,10:51:00,114035,115275,107962,114282,95,"112888,5","10724407,5",,
01.09.2020,10:52:00,111546,115070,108180,110355,17,"111287,75","1891891,75",,
01.09.2020,10:53:00,108673,115225,108144,114009,39,"111512,75","4348997,25",,
01.09.2020,10:54:00,114013,114983,107934,110156,17,"111771,5","1900115,5",,
01.09.2020,10:55:00,109589,115176,107958,112263,98,"111246,5",10902157,,
01.09.2020,10:56:00,108775,115090,108161,114593,62,"111654,75","6922594,5",,
01.09.2020,10:57:00,112500,115125,108274,109032,7,"111232,75","778629,25",,
01.09.2020,10:58:00,110734,115281,107972,112951,41,"111734,5","4581114,5",,
01.09.2020,10:59:00,108345,115160,107957,111993,57,"110863,75","6319233,75",,
01.09.2020,11:00:00,110403,115158,107903,111963,95,"111356,75","10578891,25",,
01.09.2020,11:01:00,114892,115294,107951,108773,10,"111727,5",1117275,,
01.09.2020,11:02:00,107960,115121,107960,112273,7,"110828,5","775799,5",,
01.09.2020,11:03:00,110559,115173,107919,111971,51,"111405,5","5681680,5",,
01.09.2020,11:04:00,112902,115299,107919,113093,17,"112303,25","1909155,25",,
01.09.2020,11:05:00,113143,114858,108193,113182,35,112344,3932040,,
01.09.2020,11:06:00,114902,115154,107935,109037,76,111757,8493532,,
01.09.2020,11:07:00,108567,115271,107907,109782,86,"110381,75","9492830,5",,
01.09.2020,11:08:00,112431,115278,107930,108778,30,"111104,25","3333127,5",,
01.09.2020,11:09:00,111121,114944,107985,110408,42,"111114,5",4666809,,
01.09.2020,11:10:00,114119,115168,108016,113092,87,"112598,75","9796091,25",,
01.09.2020,11:11:00,111395,115148,108071,109064,95,"110919,5","10537352,5",,
01.09.2020,11:12:00,111387,115287,108067,110525,76,"111316,5",8460054,,
01.09.2020,11:13:00,108874,114929,107995,108689,35,"110121,75","3854261,25",,
01.09.2020,11:14:00,113780,115164,108040,110271,68,"111813,75",7603335,,
01.09.2020,11:15:00,112738,115262,107902,113344,32,"112311,5",3593968,,
01.09.2020,11:16:00,114697,115166,108003,109474,85,111835,9505975,,
01.09.2020,11:17:00,108839,115244,108147,115149,14,"111844,75","1565826,5",,
01.09.2020,11:18:00,108533,115285,108490,112848,8,111289,890312,,
01.09.2020,11:19:00,113995,115299,107910,114146,71,"112837,5","8011462,5",,
01.09.2020,11:20:00,111481,114847,107980,111893,33,"111550,25","3681158,25",,
01.09.2020,11:21:00,110539,115222,107990,112901,29,111663,3238227,,
01.09.2020,11:22:00,109443,115252,107919,115128,51,"111935,5","5708710,5",,
01.09.2020,11:23:00,114757,115122,107929,111146,35,"112238,5","3928347,5",,
01.09.2020,11:24:00,111114,115250,107941,111925,60,"111557,5",6693450,,
01.09.2020,11:25:00,110928,115257,107976,108361,28,"110630,5",3097654,,
01.09.2020,11:26:00,109949,115164,107962,111736,63,"111202,75","7005773,25",,
01.09.2020,11:27:00,108696,115172,107943,112324,56,"111033,75",6217890,,
01.09.2020,11:28:00,113709,115282,107963,112579,84,"112383,25",9440193,,
01.09.2020,11:29:00,109627,115239,108072,111058,64,110999,7103936,,
01.09.2020,11:30:00,108620,115210,107936,114768,36,"111633,5",4018806,,
01.09.2020,11:31:00,108287,115124,107915,109296,13,"110155,5","1432021,5",,
01.09.2020,11:32:00,111755,115288,108175,113754,50,112243,5612150,,
01.09.2020,11:33:00,108627,115221,107935,112293,30,111019,3330570,,
01.09.2020,11:34:00,109564,115236,108199,115034,29,"112008,25","3248239,25",,
01.09.2020,11:35:00,114238,115143,107975,108702,52,"111514,5",5798754,,
01.09.2020,11:36:00,112482,115159,107991,111497,63,"111782,25","7042281,75",,
01.09.2020,11:37:00,112799,115286,107908,110028,45,"111505,25","5017736,25",,
01.09.2020,11:38:00,111370,115041,108065,114076,91,112138,10204558,,
01.09.2020,11:39:00,114776,115290,107915,113217,84,"112799,5",9475158,,
01.09.2020,11:40:00,110467,115233,107944,109994,97,"110909,5","10758221,5",,
01.09.2020,11:41:00,112707,115227,107905,113920,3,"112439,75","337319,25",,
01.09.2020,11:42:00,114437,115064,108000,113627,90,112782,10150380,,
01.09.2020,11:43:00,112126,115101,107924,114826,6,"112494,25","674965,5",,
01.09.2020,11:44:00,115099,115099,108014,108761,84,"111743,25",9386433,,
01.09.2020,11:45:00,113879,115272,107993,111076,55,112055,6163025,,
01.09.2020,11:46:00,108482,114395,107988,113253,45,"111029,5","4996327,5",,
01.09.2020,11:47:00,113522,115150,107966,109559,55,"111549,25","6135208,75",,
01.09.2020,11:48:00,114195,115299,107985,111395,41,"112218,5","4600958,5",,
01.09.2020,11:49:00,113834,115207,107910,110521,80,111868,8949440,,
01.09.2020,11:50:00,109305,115289,108079,112305,50,"111244,5",5562225,,
01.09.2020,11:51:00,110664,115110,107911,110804,87,"111122,25","9667635,75",,
01.09.2020,11:52:00,108311,115264,108064,113602,63,"111310,25","7012545,75",,
01.09.2020,11:53:00,114688,115291,107979,115082,38,113260,4303880,,
01.09.2020,11:54:00,110586,115273,107948,110983,73,"111197,5","8117417,5",,
01.09.2020,11:55:00,110501,115240,108007,108848,46,110649,5089854,,
01.09.2020,11:56:00,109660,115056,107968,110755,50,"110859,75","5542987,5",,
01.09.2020,11:57:00,108222,115239,107992,111001,19,"110613,5","2101656,5",,
01.09.2020,11:58:00,111009,115292,108131,111288,57,111430,6351510,,
01.09.2020,11:59:00,112365,115147,107943,110821,48,111569,5355312,,
01.09.2020,12:00:00,108390,115174,108087,109692,10,"110335,75","1103357,5",,
01.09.2020,12:01:00,109106,115298,108042,109717,85,"110540,75","9395963,75",,
01.09.2020,12:02:00,114719,115273,108073,112035,51,112525,5738775,,
01.09.2020,12:03:00,112054,115285,107995,114925,27,"112564,75","3039248,25",,
01.09.2020,12:04:00,113053,115146,107923,114792,86,"112728,5",9694651,,
01.09.2020,12:05:00,108066,114958,108066,113277,30,"111091,75","3332752,5",,
01.09.2020,12:06:00,109268,115160,107967,112006,68,"111100,25",7554817,,
01.09.2020,12:07:00,109326,115160,108079,111924,49,"111122,25","5444990,25",,
01.09.2020,12:08:00,114551,115104,108048,109300,95,"111750,75","10616321,25",,
01.09.2020,12:09:00,114211,115250,107947,108446,28,"111463,5",3120978,,
01.09.2020,12:10:00,108563,115120,107969,114430,52,"111520,5",5799066,,
01.09.2020,12:11:00,111365,115208,107993,109154,61,110930,6766730,,
01.09.2020,12:12:00,113469,115260,108082,108300,61,"111277,75","6787942,75",,
01.09.2020,12:13:00,113406,115137,108178,108542,35,"111315,75","3896051,25",,
01.09.2020,12:14:00,112941,115096,107907,108223,27,"111041,75","2998127,25",,
01.09.2020,12:15:00,110135,115081,107914,108877,72,"110501,75",7956126,,
01.09.2020,12:16:00,112615,115213,108164,109917,5,"111477,25","557386,25",,
01.09.2020,12:17:00,110537,115235,108064,108205,32,"110510,25",3536328,,
01.09.2020,12:18:00,109775,115140,108130,114142,84,"111796,75",9390927,,
01.09.2020,12:19:00,113655,115268,107917,108070,52,"111227,5",5783830,,
01.09.2020,12:20:00,115291,115291,107912,112278,98,112693,11043914,,
01.09.2020,12:21:00,111941,115228,107996,110487,71,111413,7910323,,
01.09.2020,12:22:00,110818,115238,107996,115238,7,"112322,5","786257,5",,
01.09.2020,12:23:00,112578,115121,108138,114531,77,112592,8669584,,
01.09.2020,12:24:00,114363,114987,107916,110267,51,"111883,25","5706045,75",,
01.09.2020,12:25:00,109013,115293,108087,113891,79,111571,8814109,,
01.09.2020,12:26:00,108851,115227,108301,111103,14,"110870,5",1552187,,
01.09.2020,12:27:00,109904,115261,108052,109198,26,"110603,75","2875697,5",,
01.09.2020,12:28:00,110779,115221,107900,115089,38,"112247,25","4265395,5",,
01.09.2020,12:29:00,110658,115216,108474,111363,76,"111427,75",8468509,,
01.09.2020,12:30:00,110957,115294,107909,110446,32,"111151,5",3556848,,
01.09.2020,12:31:00,110463,114922,108149,111980,61,"111378,5","6794088,5",,
01.09.2020,12:32:00,114136,115273,107944,110520,66,"111968,25","7389904,5",,
01.09.2020,12:33:00,113161,115288,107917,111516,81,"111970,5","9069610,5",,
01.09.2020,12:34:00,108057,115252,108057,110563,41,"110482,25","4529772,25",,
01.09.2020,12:35:00,113837,115276,108059,112026,30,"112299,5",3368985,,
01.09.2020,12:36:00,110327,115176,108129,111281,5,"111228,25","556141,25",,
01.09.2020,12:37:00,110200,115219,108115,109099,72,"110658,25",7967394,,
01.09.2020,12:38:00,114510,115188,107991,113640,87,"112832,25","9816405,75",,
01.09.2020,12:39:00,108885,115257,107932,108599,87,"110168,25","9584637,75",,
01.09.2020,12:40:00,114761,115173,108087,114708,79,"113182,25","8941397,75",,
01.09.2020,12:41:00,114731,114829,107914,112939,56,"112603,25",6305782,,
01.09.2020,12:42:00,110543,114990,107904,114901,48,"112084,5",5380056,,
01.09.2020,12:43:00,111025,115248,107919,109114,62,"110826,5",6871243,,
01.09.2020,12:44:00,111125,114934,108048,112097,76,111551,8477876,,
01.09.2020,12:45:00,112239,115285,107916,114094,49,"112383,5","5506791,5",,
01.09.2020,12:46:00,113129,114956,107904,111652,85,"111910,25","9512371,25",,
01.09.2020,12:47:00,114655,115182,107981,108848,19,"111666,5","2121663,5",,
01.09.2020,12:48:00,111396,115190,108128,113877,50,"112147,75","5607387,5",,
01.09.2020,12:49:00,109653,115228,108301,108525,72,"110426,75",7950726,,
01.09.2020,12:50:00,113073,115009,107900,108313,24,"111073,75",2665770,,
01.09.2020,12:51:00,110104,115158,108080,108674,17,110504,1878568,,
01.09.2020,12:52:00,109149,115104,107908,109535,59,110424,6515016,,
01.09.2020,12:53:00,113432,115253,108117,110904,90,"111926,5",10073385,,
01.09.2020,12:54:00,111368,115147,108024,108487,52,"110756,5",5759338,,
01.09.2020,12:55:00,111261,115254,108109,109047,28,"110917,75",3105697,,
01.09.2020,12:56:00,108535,115204,108055,110099,93,"110473,25","10274012,25",,
01.09.2020,12:57:00,112089,115279,107919,110524,5,"111452,75","557263,75",,
01.09.2020,12:58:00,111860,115248,107912,108086,62,"110776,5",6868143,,
01.09.2020,12:59:00,114503,115284,107999,112196,16,"112495,5",1799928,,
01.09.2020,13:01:00,112720,115289,108023,112520,65,112138,7288970,,
01.09.2020,13:02:00,113114,115240,107965,109338,1,"111414,25","111414,25",,
01.09.2020,13:03:00,110337,115271,108073,111627,43,111327,4787061,,
01.09.2020,13:04:00,108283,115280,107911,110555,22,"110507,25","2431159,5",,
01.09.2020,13:05:00,115252,115252,107964,114287,57,"113188,75","6451758,75",,
01.09.2020,13:06:00,109939,115122,107903,109013,7,"110494,25","773459,75",,
01.09.2020,13:07:00,112231,114990,108113,109577,87,"111227,75","9676814,25",,
01.09.2020,13:08:00,108612,115108,107914,108989,69,"110155,75","7600746,75",,
01.09.2020,13:09:00,114248,115127,107920,110183,87,"111869,5","9732646,5",,
01.09.2020,13:10:00,107937,115148,107901,114644,43,"111407,5","4790522,5",,
01.09.2020,13:11:00,114235,115288,107989,114198,32,"112927,5",3613680,,
01.09.2020,13:12:00,112078,115268,108034,113336,31,112179,3477549,,
01.09.2020,13:13:00,109078,115272,107905,110805,79,110765,8750435,,
01.09.2020,13:14:00,109267,115289,107979,114441,82,111744,9163008,,
01.09.2020,13:15:00,114524,115229,107981,114653,43,"113096,75","4863160,25",,
01.09.2020,13:16:00,111741,115267,107916,108161,75,"110771,25","8307843,75",,
01.09.2020,13:17:00,115021,115272,107934,110474,53,"112175,25","5945288,25",,
01.09.2020,13:18:00,110662,114971,108018,113135,84,"111696,5",9382506,,
01.09.2020,13:19:00,114785,115008,107947,112706,78,"112611,5",8783697,,
01.09.2020,13:20:00,112975,115297,107954,108869,73,"111273,75","8122983,75",,
01.09.2020,13:21:00,112564,115230,107946,107946,93,"110921,5","10315699,5",,
01.09.2020,13:22:00,108303,115234,107916,112085,10,"110884,5",1108845,,
01.09.2020,13:23:00,115146,115268,107939,114666,20,"113254,75",2265095,,
01.09.2020,13:24:00,108006,115210,107909,110201,45,"110331,5","4964917,5",,
01.09.2020,13:25:00,115139,115233,107929,115174,12,"113368,75",1360425,,
01.09.2020,13:26:00,108610,115273,107908,115016,82,"111701,75","9159543,5",,
01.09.2020,13:27:00,114104,115191,107960,108139,17,"111348,5","1892924,5",,
01.09.2020,13:28:00,113023,115139,107954,109897,70,"111503,25","7805227,5",,
01.09.2020,13:29:00,111963,115298,108274,115125,85,112665,9576525,,
01.09.2020,13:30:00,114143,115257,108019,108510,86,"111482,25","9587473,5",,
01.09.2020,13:31:00,115217,115248,108049,115225,7,"113434,75","794043,25",,
01.09.2020,13:32:00,113876,115227,107908,108088,60,"111274,75",6676485,,
01.09.2020,13:33:00,110173,115297,107974,108268,25,110428,2760700,,
01.09.2020,13:34:00,109599,115298,107938,108455,78,"110322,5",8605155,,
01.09.2020,13:35:00,110524,115275,108187,110255,45,"111060,25","4997711,25",,
01.09.2020,13:36:00,110095,115257,108063,108063,49,"110369,5","5408105,5",,
01.09.2020,13:37:00,112928,115047,107930,114276,53,"112545,25","5964898,25",,
01.09.2020,13:38:00,114831,115207,107902,109817,38,"111939,25","4253691,5",,
01.09.2020,13:39:00,107940,115259,107940,113633,58,111193,6449194,,
01.09.2020,13:40:00,110087,115143,107953,113703,3,"111721,5","335164,5",,
01.09.2020,13:41:00,114903,115292,108137,109368,15,111925,1678875,,
01.09.2020,13:42:00,111255,114983,107919,109631,19,110947,2107993,,
01.09.2020,13:43:00,109649,114909,107934,111377,42,"110967,25","4660624,5",,
01.09.2020,13:44:00,113905,115197,108019,108624,54,"111436,25","6017557,5",,
01.09.2020,13:45:00,113481,115191,108182,113384,32,"112559,5",3601904,,
01.09.2020,13:46:00,109772,115241,108033,109996,74,"110760,5",8196277,,
01.09.2020,13:47:00,107916,115182,107916,110402,78,110354,8607612,,
01.09.2020,13:48:00,112170,115292,108077,112162,96,"111925,25",10744824,,
01.09.2020,13:49:00,110962,115226,107952,112119,50,"111564,75","5578237,5",,
01.09.2020,13:50:00,112208,115281,107911,114987,67,"112596,75","7543982,25",,
01.09.2020,13:51:00,108304,115286,107977,115286,61,"111713,25","6814508,25",,
01.09.2020,13:52:00,113373,115142,108107,109816,37,"111609,5","4129551,5",,
01.09.2020,13:53:00,109330,115219,108316,109375,17,110560,1879520,,
01.09.2020,13:54:00,113211,114942,107907,112786,47,"112211,5","5273940,5",,
01.09.2020,13:55:00,108969,115138,108094,110396,13,"110649,25","1438440,25",,
01.09.2020,13:56:00,108981,114957,107983,114957,57,"111719,5","6368011,5",,
01.09.2020,13:57:00,111275,115295,107968,108852,56,"110847,5",6207460,,
01.09.2020,13:58:00,108093,114854,108014,114383,37,111336,4119432,,
01.09.2020,13:59:00,112912,115008,107998,109922,92,111460,10254320,,
01.09.2020,14:00:00,114075,115249,108029,114048,22,"112850,25","2482705,5",,
01.09.2020,14:01:00,111164,115255,108248,113659,25,"112081,5","2802037,5",,
01.09.2020,14:02:00,111464,115286,107969,109045,81,110941,8986221,,
01.09.2020,14:03:00,112656,115264,108059,109097,44,111269,4895836,,
01.09.2020,14:04:00,114533,115296,107905,112025,41,"112439,75","4610029,75",,
01.09.2020,14:05:00,108913,114948,107921,113289,56,"111267,75",6230994,,
01.09.2020,14:06:00,109686,115222,107905,111510,89,"111080,75","9886186,75",,
01.09.2020,14:07:00,109909,115275,108063,113438,13,"111671,25","1451726,25",,
01.09.2020,14:08:00,109779,115272,108341,110833,72,"111056,25",7996050,,
01.09.2020,14:09:00,114921,115215,108066,111544,59,"112436,5","6633753,5",,
01.09.2020,14:10:00,110422,115271,107917,108528,88,"110534,5",9727036,,
01.09.2020,14:11:00,113323,114910,107945,112721,36,"112224,75",4040091,,
01.09.2020,14:12:00,109702,114766,107934,112774,1,111294,111294,,
01.09.2020,14:13:00,113052,115292,107913,113828,62,"112521,25","6976317,5",,
01.09.2020,14:14:00,113267,115248,107957,115068,44,112885,4966940,,
01.09.2020,14:15:00,112359,115258,107975,108235,94,"110956,75","10429934,5",,
01.09.2020,14:16:00,110219,115079,108084,113568,31,"111737,5","3463862,5",,
01.09.2020,14:17:00,112579,115145,107987,113022,53,"112183,25","5945712,25",,
01.09.2020,14:18:00,109197,115102,108074,109910,75,"110570,75","8292806,25",,
01.09.2020,14:19:00,110483,114914,108101,111233,21,"111182,75","2334837,75",,
01.09.2020,14:20:00,114973,115056,107921,114076,14,"113006,5",1582091,,
01.09.2020,14:21:00,110393,115124,107977,108438,50,110483,5524150,,
01.09.2020,14:22:00,108073,115266,107922,112348,24,"110902,25",2661654,,
01.09.2020,14:23:00,114222,115255,107917,113772,35,"112791,5","3947702,5",,
01.09.2020,14:24:00,110991,115224,107979,109735,90,"110982,25","9988402,5",,
01.09.2020,14:25:00,114521,115176,107921,108056,17,"111418,5","1894114,5",,
01.09.2020,14:26:00,108578,115238,108078,109726,96,110405,10598880,,
01.09.2020,14:27:00,109963,115287,107927,110809,56,"110996,5",6215804,,
01.09.2020,14:28:00,115277,115277,108004,113660,18,"113054,5",2034981,,
01.09.2020,14:29:00,113083,115005,108225,114995,10,112827,1128270,,
01.09.2020,14:30:00,108721,115285,107924,108011,37,"109985,25","4069454,25",,
01.09.2020,14:31:00,112164,115280,107990,112247,72,"111920,25",8058258,,
01.09.2020,14:32:00,111018,115281,108370,109962,77,"111157,75","8559146,75",,
01.09.2020,14:33:00,109596,115000,108060,111992,54,111162,6002748,,
01.09.2020,14:34:00,109150,115221,107925,114777,55,"111768,25","6147253,75",,
01.09.2020,14:35:00,110765,115270,108254,114668,43,"112239,25","4826287,75",,
01.09.2020,14:36:00,109373,115249,108028,112962,61,111403,6795583,,
01.09.2020,14:37:00,108420,115274,107940,107969,84,"109900,75",9231663,,
01.09.2020,14:38:00,110906,115268,107953,112825,40,111738,4469520,,
01.09.2020,14:39:00,108946,115245,108085,113406,3,"111420,5","334261,5",,
01.09.2020,14:40:00,111999,115225,108010,113946,14,112295,1572130,,
01.09.2020,14:41:00,111397,115120,108218,115071,5,"112451,5","562257,5",,
01.09.2020,14:42:00,113216,114703,108250,111634,83,"111950,75","9291912,25",,
01.09.2020,14:43:00,108122,115274,108041,108157,68,"109898,5",7473098,,
01.09.2020,14:44:00,110273,114959,107975,111704,25,"111227,75","2780693,75",,
01.09.2020,14:45:00,115204,115204,108109,109954,46,"112117,75","5157416,5",,
01.09.2020,14:46:00,110112,115176,107982,108470,75,110435,8282625,,
01.09.2020,14:47:00,115168,115194,108146,108724,3,111808,335424,,
01.09.2020,14:48:00,113718,115221,108134,110172,29,"111811,25","3242526,25",,
01.09.2020,14:49:00,113220,115121,108056,109394,53,"111447,75","5906730,75",,
01.09.2020,14:50:00,114163,115288,107907,111903,1,"112315,25","112315,25",,
01.09.2020,14:51:00,109623,115292,107951,109328,7,"110548,5","773839,5",,
01.09.2020,14:52:00,111736,115287,107977,112873,28,"111968,25",3135111,,
01.09.2020,14:53:00,110956,115211,108119,111779,66,"111516,25","7360072,5",,
01.09.2020,14:54:00,113356,115178,107978,110539,65,"111762,75","7264578,75",,
01.09.2020,14:55:00,108531,115196,108074,111928,13,"110932,25","1442119,25",,
01.09.2020,14:56:00,111102,115231,108186,112550,29,"111767,25","3241250,25",,
01.09.2020,14:57:00,114098,115139,107907,110959,67,"112025,75","7505725,25",,
01.09.2020,14:58:00,111850,115121,107987,114740,83,"112424,5","9331233,5",,
01.09.2020,14:59:00,114542,115099,107948,111336,14,"112231,25","1571237,5",,
01.09.2020,15:00:00,109142,115276,107983,109062,50,"110365,75","5518287,5",,
01.09.2020,15:01:00,113131,115227,107927,114376,48,"112665,25",5407932,,
01.09.2020,15:02:00,112518,115288,108311,108373,68,"111122,5",7556330,,
01.09.2020,15:03:00,108797,115132,108056,109012,93,"110249,25","10253180,25",,
01.09.2020,15:04:00,113194,115293,107930,111078,29,"111873,75","3244338,75",,
01.09.2020,15:05:00,111200,115272,108008,109199,79,"110919,75","8762660,25",,
01.09.2020,15:06:00,109909,115269,108553,111722,42,"111363,25","4677256,5",,
01.09.2020,15:07:00,113870,115239,107906,115239,70,"113063,5",7914445,,
01.09.2020,15:08:00,109570,115280,108040,115062,71,111988,7951148,,
01.09.2020,15:09:00,113624,115106,108303,115106,81,"113034,75","9155814,75",,
01.09.2020,15:10:00,113356,115233,107936,111820,54,"112086,25","6052657,5",,
01.09.2020,15:11:00,110772,115265,107906,109217,22,110790,2437380,,
01.09.2020,15:12:00,110078,115217,107968,108584,83,"110461,75","9168325,25",,
01.09.2020,15:13:00,110865,115093,107945,114569,90,112118,10090620,,
01.09.2020,15:14:00,114649,115217,108032,112020,39,"112479,5","4386700,5",,
01.09.2020,15:15:00,113535,115126,108061,108739,41,"111365,25","4565975,25",,
01.09.2020,15:16:00,115169,115190,108033,108767,23,"111789,75","2571164,25",,
01.09.2020,15:18:00,114089,115163,108120,114831,9,"113050,75","1017456,75",,
01.09.2020,15:19:00,108993,115018,107975,108138,7,110031,770217,,
01.09.2020,15:20:00,114968,115176,108323,110240,95,"112176,75","10656791,25",,
01.09.2020,15:21:00,109992,115108,108093,111424,98,"111154,25","10893116,5",,
01.09.2020,15:22:00,109034,115070,108014,112029,97,"111036,75","10770564,75",,
01.09.2020,15:23:00,113582,115264,108073,113620,27,"112634,75","3041138,25",,
01.09.2020,15:24:00,113039,115296,108035,109450,45,111455,5015475,,
01.09.2020,15:25:00,112372,115197,107972,109333,9,"111218,5","1000966,5",,
01.09.2020,15:26:00,109797,115273,107959,108618,95,"110411,75","10489116,25",,
01.09.2020,15:27:00,114110,115176,108062,109938,19,"111821,5","2124608,5",,
01.09.2020,15:28:00,113640,115238,108299,115073,93,"113062,5","10514812,5",,
01.09.2020,15:29:00,108684,115120,108046,110407,96,"110564,25",10614168,,
01.09.2020,15:30:00,113464,115161,108044,108044,82,"111178,25","9116616,5",,
01.09.2020,15:31:00,115019,115239,107925,109618,12,"111950,25",1343403,,
01.09.2020,15:32:00,112568,115257,108163,112870,90,"112214,5",10099305,,
01.09.2020,15:33:00,111137,115258,108066,109987,61,111112,6777832,,
01.09.2020,15:34:00,110347,114642,107961,113587,18,"111634,25","2009416,5",,
01.09.2020,15:35:00,112379,115270,107950,111161,20,111690,2233800,,
01.09.2020,15:36:00,109813,115023,107952,112113,26,"111225,25","2891856,5",,
01.09.2020,15:37:00,114902,115276,108193,114399,91,"113192,5","10300517,5",,
01.09.2020,15:38:00,110550,115158,108096,113858,85,"111915,5","9512817,5",,
01.09.2020,15:39:00,113254,115259,107955,111717,86,"112046,25","9635977,5",,
01.09.2020,15:40:00,115283,115283,107938,107938,70,"111610,5",7812735,,
01.09.2020,15:41:00,113772,115141,107900,114631,79,112861,8916019,,
01.09.2020,15:42:00,111982,115284,107923,115284,35,"112618,25","3941638,75",,
01.09.2020,15:43:00,108117,115127,108117,113934,75,"111323,75","8349281,25",,
01.09.2020,15:44:00,111339,114877,107913,111318,54,"111361,75","6013534,5",,
01.09.2020,15:45:00,112706,115299,108142,112243,95,"112097,5","10649262,5",,
01.09.2020,15:46:00,111601,115166,108007,115015,59,"112447,25","6634387,75",,
01.09.2020,15:47:00,113713,115282,107904,112430,52,"112332,25",5841277,,
01.09.2020,15:48:00,113451,115177,107915,109111,18,"111413,5",2005443,,
01.09.2020,15:49:00,115254,115264,107954,109358,93,"111957,5","10412047,5",,
01.09.2020,15:50:00,109629,115117,108035,114247,95,111757,10616915,,
01.09.2020,15:51:00,113943,115274,108005,114686,25,112977,2824425,,
01.09.2020,15:52:00,115230,115295,108254,113408,61,"113046,75","6895851,75",,
01.09.2020,15:53:00,111728,115289,107914,114701,57,112408,6407256,,
